5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,5'_transcript_biotype,3'_transcript_biotype,Fusion_effect,Protein_length,Protein_weight_(kD)
GSKIP,CRAT37,ENST00000555181,ENST00000555947,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000555181,ENST00000554333,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000555181,ENST00000664984,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000555181,ENST00000687281,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000555088,ENST00000555947,+,+,retained_intron,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000555088,ENST00000554333,+,+,retained_intron,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000555088,ENST00000664984,+,+,retained_intron,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000555088,ENST00000687281,+,+,retained_intron,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000553699,ENST00000555947,+,+,protein_coding,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000553699,ENST00000554333,+,+,protein_coding,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000553699,ENST00000664984,+,+,protein_coding,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000553699,ENST00000687281,+,+,protein_coding,lncRNA,exon-exon,NA,NA
GSKIP,CRAT37,ENST00000554182,ENST00000555947,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000554182,ENST00000554333,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000554182,ENST00000664984,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000554182,ENST00000687281,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000556095,ENST00000555947,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000556095,ENST00000554333,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000556095,ENST00000664984,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000556095,ENST00000687281,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000555757,ENST00000555947,+,+,protein_coding,lncRNA,Outside transcript boundry,NA,NA
GSKIP,CRAT37,ENST00000555757,ENST00000554333,+,+,protein_coding,lncRNA,Outside transcript boundry,NA,NA
GSKIP,CRAT37,ENST00000555757,ENST00000664984,+,+,protein_coding,lncRNA,Outside transcript boundry,NA,NA
GSKIP,CRAT37,ENST00000555757,ENST00000687281,+,+,protein_coding,lncRNA,Outside transcript boundry,NA,NA
GSKIP,CRAT37,ENST00000438650,ENST00000555947,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000438650,ENST00000554333,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000438650,ENST00000664984,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
GSKIP,CRAT37,ENST00000438650,ENST00000687281,+,+,protein_coding,lncRNA,5UTR-exon,NA,NA
