5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,exon_gene_source,exon_number,exon_chr,exon_start,exon_end
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'5 gene,1,6,20401879,20402625
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,3,4,88036220,88036353
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,4,4,88038251,88038501
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,5,4,88043233,88043457
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,6,4,88046642,88046870
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,7,4,88051991,88052158
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,8,4,88056086,88056267
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,9,4,88057983,88058103
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,10,4,88061906,88062004
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,11,4,88065374,88065495
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,12,4,88065762,88065879
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,13,4,88067898,88068061
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,14,4,88074812,88074959
E2F3,PKD2,ENST00000346618,ENST00000237596,+,+,'3 gene,15,4,88075458,88077777
E2F3,PKD2,ENST00000346618,ENST00000506727,+,+,'5 gene,1,6,20401879,20402625
E2F3,PKD2,ENST00000346618,ENST00000506727,+,+,'3 gene,3,4,88036220,88036353
E2F3,PKD2,ENST00000346618,ENST00000506727,+,+,'3 gene,4,4,88038251,88038371
E2F3,PKD2,ENST00000346618,ENST00000506367,+,+,'5 gene,1,6,20401879,20402625
E2F3,PKD2,ENST00000346618,ENST00000506367,+,+,'3 gene,1,4,88036220,88036353
E2F3,PKD2,ENST00000346618,ENST00000506367,+,+,'3 gene,2,4,88038251,88038501
E2F3,PKD2,ENST00000346618,ENST00000506367,+,+,'3 gene,3,4,88043233,88043384
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'5 gene,1,6,20403679,20403832
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,3,4,88036220,88036353
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,4,4,88038251,88038501
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,5,4,88043233,88043457
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,6,4,88046642,88046870
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,7,4,88051991,88052158
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,8,4,88056086,88056267
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,9,4,88057983,88058103
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,10,4,88061906,88062004
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,11,4,88065374,88065495
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,12,4,88065762,88065879
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,13,4,88067898,88068061
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,14,4,88074812,88074959
E2F3,PKD2,ENST00000535432,ENST00000237596,+,+,'3 gene,15,4,88075458,88077777
E2F3,PKD2,ENST00000535432,ENST00000506727,+,+,'5 gene,1,6,20403679,20403832
E2F3,PKD2,ENST00000535432,ENST00000506727,+,+,'3 gene,3,4,88036220,88036353
E2F3,PKD2,ENST00000535432,ENST00000506727,+,+,'3 gene,4,4,88038251,88038371
E2F3,PKD2,ENST00000535432,ENST00000506367,+,+,'5 gene,1,6,20403679,20403832
E2F3,PKD2,ENST00000535432,ENST00000506367,+,+,'3 gene,1,4,88036220,88036353
E2F3,PKD2,ENST00000535432,ENST00000506367,+,+,'3 gene,2,4,88038251,88038501
E2F3,PKD2,ENST00000535432,ENST00000506367,+,+,'3 gene,3,4,88043233,88043384
