5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,exon_gene_source,exon_number,exon_chr,exon_start,exon_end
GSKIP,CRAT37,ENST00000555181,ENST00000555947,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555181,ENST00000555947,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555181,ENST00000555947,+,+,'3 gene,3,15,91604877,91605873
GSKIP,CRAT37,ENST00000555181,ENST00000554333,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555181,ENST00000554333,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555181,ENST00000554333,+,+,'3 gene,3,15,91489387,91489477
GSKIP,CRAT37,ENST00000555181,ENST00000554333,+,+,'3 gene,4,15,91493193,91494850
GSKIP,CRAT37,ENST00000555181,ENST00000664984,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555181,ENST00000664984,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555181,ENST00000664984,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000555181,ENST00000664984,+,+,'3 gene,4,15,91604877,91605869
GSKIP,CRAT37,ENST00000555181,ENST00000687281,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555181,ENST00000687281,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555181,ENST00000687281,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000555181,ENST00000687281,+,+,'3 gene,4,15,91652595,91653389
GSKIP,CRAT37,ENST00000555088,ENST00000555947,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555088,ENST00000555947,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555088,ENST00000555947,+,+,'3 gene,3,15,91604877,91605873
GSKIP,CRAT37,ENST00000555088,ENST00000554333,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555088,ENST00000554333,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555088,ENST00000554333,+,+,'3 gene,3,15,91489387,91489477
GSKIP,CRAT37,ENST00000555088,ENST00000554333,+,+,'3 gene,4,15,91493193,91494850
GSKIP,CRAT37,ENST00000555088,ENST00000664984,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555088,ENST00000664984,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555088,ENST00000664984,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000555088,ENST00000664984,+,+,'3 gene,4,15,91604877,91605869
GSKIP,CRAT37,ENST00000555088,ENST00000687281,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000555088,ENST00000687281,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000555088,ENST00000687281,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000555088,ENST00000687281,+,+,'3 gene,4,15,91652595,91653389
GSKIP,CRAT37,ENST00000553699,ENST00000555947,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000553699,ENST00000555947,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000553699,ENST00000555947,+,+,'3 gene,3,15,91604877,91605873
GSKIP,CRAT37,ENST00000553699,ENST00000554333,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000553699,ENST00000554333,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000553699,ENST00000554333,+,+,'3 gene,3,15,91489387,91489477
GSKIP,CRAT37,ENST00000553699,ENST00000554333,+,+,'3 gene,4,15,91493193,91494850
GSKIP,CRAT37,ENST00000553699,ENST00000664984,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000553699,ENST00000664984,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000553699,ENST00000664984,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000553699,ENST00000664984,+,+,'3 gene,4,15,91604877,91605869
GSKIP,CRAT37,ENST00000553699,ENST00000687281,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000553699,ENST00000687281,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000553699,ENST00000687281,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000553699,ENST00000687281,+,+,'3 gene,4,15,91652595,91653389
GSKIP,CRAT37,ENST00000554182,ENST00000555947,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000554182,ENST00000555947,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000554182,ENST00000555947,+,+,'3 gene,3,15,91604877,91605873
GSKIP,CRAT37,ENST00000554182,ENST00000554333,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000554182,ENST00000554333,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000554182,ENST00000554333,+,+,'3 gene,3,15,91489387,91489477
GSKIP,CRAT37,ENST00000554182,ENST00000554333,+,+,'3 gene,4,15,91493193,91494850
GSKIP,CRAT37,ENST00000554182,ENST00000664984,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000554182,ENST00000664984,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000554182,ENST00000664984,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000554182,ENST00000664984,+,+,'3 gene,4,15,91604877,91605869
GSKIP,CRAT37,ENST00000554182,ENST00000687281,+,+,'5 gene,1,14,96363526,96363568
GSKIP,CRAT37,ENST00000554182,ENST00000687281,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000554182,ENST00000687281,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000554182,ENST00000687281,+,+,'3 gene,4,15,91652595,91653389
GSKIP,CRAT37,ENST00000556095,ENST00000555947,+,+,'5 gene,1,14,96363557,96363568
GSKIP,CRAT37,ENST00000556095,ENST00000555947,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000556095,ENST00000555947,+,+,'3 gene,3,15,91604877,91605873
GSKIP,CRAT37,ENST00000556095,ENST00000554333,+,+,'5 gene,1,14,96363557,96363568
GSKIP,CRAT37,ENST00000556095,ENST00000554333,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000556095,ENST00000554333,+,+,'3 gene,3,15,91489387,91489477
GSKIP,CRAT37,ENST00000556095,ENST00000554333,+,+,'3 gene,4,15,91493193,91494850
GSKIP,CRAT37,ENST00000556095,ENST00000664984,+,+,'5 gene,1,14,96363557,96363568
GSKIP,CRAT37,ENST00000556095,ENST00000664984,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000556095,ENST00000664984,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000556095,ENST00000664984,+,+,'3 gene,4,15,91604877,91605869
GSKIP,CRAT37,ENST00000556095,ENST00000687281,+,+,'5 gene,1,14,96363557,96363568
GSKIP,CRAT37,ENST00000556095,ENST00000687281,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000556095,ENST00000687281,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000556095,ENST00000687281,+,+,'3 gene,4,15,91652595,91653389
GSKIP,CRAT37,ENST00000438650,ENST00000555947,+,+,'5 gene,1,14,96363452,96363568
GSKIP,CRAT37,ENST00000438650,ENST00000555947,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000438650,ENST00000555947,+,+,'3 gene,3,15,91604877,91605873
GSKIP,CRAT37,ENST00000438650,ENST00000554333,+,+,'5 gene,1,14,96363452,96363568
GSKIP,CRAT37,ENST00000438650,ENST00000554333,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000438650,ENST00000554333,+,+,'3 gene,3,15,91489387,91489477
GSKIP,CRAT37,ENST00000438650,ENST00000554333,+,+,'3 gene,4,15,91493193,91494850
GSKIP,CRAT37,ENST00000438650,ENST00000664984,+,+,'5 gene,1,14,96363452,96363568
GSKIP,CRAT37,ENST00000438650,ENST00000664984,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000438650,ENST00000664984,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000438650,ENST00000664984,+,+,'3 gene,4,15,91604877,91605869
GSKIP,CRAT37,ENST00000438650,ENST00000687281,+,+,'5 gene,1,14,96363452,96363568
GSKIP,CRAT37,ENST00000438650,ENST00000687281,+,+,'3 gene,2,15,91473221,91473316
GSKIP,CRAT37,ENST00000438650,ENST00000687281,+,+,'3 gene,3,15,91584591,91584720
GSKIP,CRAT37,ENST00000438650,ENST00000687281,+,+,'3 gene,4,15,91652595,91653389
