5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,5'_transcript_biotype,3'_transcript_biotype,Fusion_effect,Protein_length,Protein_weight_(kD)
MDH1,LINC01278,ENST00000485781,ENST00000610088,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000610234,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000669201,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000609401,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000608623,+,-,retained_intron,retained_intron,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000609143,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000433061,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000669422,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000665831,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000608788,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000667050,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000665386,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000670731,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000659363,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000666891,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000659374,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000661141,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000664128,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000669572,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000654366,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
MDH1,LINC01278,ENST00000485781,ENST00000659087,+,-,retained_intron,lncRNA,Outside transcript boundry,NA,NA
