5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,exon_gene_source,exon_number,exon_chr,exon_start,exon_end
,CRYM-AS1,ENST00000549658,ENST00000338573,+,+,'5 gene,1,16,21347139,21347291
,CRYM-AS1,ENST00000549658,ENST00000338573,+,+,'5 gene,2,16,21349368,21349430
,CRYM-AS1,ENST00000549658,ENST00000338573,+,+,'5 gene,3,16,21352100,21352138
,CRYM-AS1,ENST00000549658,ENST00000338573,+,+,'3 gene,2,16,21315884,21315970
,CRYM-AS1,ENST00000549658,ENST00000338573,+,+,'3 gene,3,16,21316862,21317948
,CRYM-AS1,ENST00000549658,ENST00000561968,+,+,'5 gene,1,16,21347139,21347291
,CRYM-AS1,ENST00000549658,ENST00000561968,+,+,'5 gene,2,16,21349368,21349430
,CRYM-AS1,ENST00000549658,ENST00000561968,+,+,'5 gene,3,16,21352100,21352138
,CRYM-AS1,ENST00000549658,ENST00000561968,+,+,'3 gene,2,16,21315884,21315970
,CRYM-AS1,ENST00000549658,ENST00000561968,+,+,'3 gene,3,16,21316862,21316886
,CRYM-AS1,ENST00000549658,ENST00000444326,+,+,'5 gene,1,16,21347139,21347291
,CRYM-AS1,ENST00000549658,ENST00000444326,+,+,'5 gene,2,16,21349368,21349430
,CRYM-AS1,ENST00000549658,ENST00000444326,+,+,'5 gene,3,16,21352100,21352138
,CRYM-AS1,ENST00000549658,ENST00000444326,+,+,'3 gene,2,16,21315884,21315970
,CRYM-AS1,ENST00000549658,ENST00000444326,+,+,'3 gene,3,16,21316862,21318591
