5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,exon_gene_source,exon_number,exon_chr,exon_start,exon_end
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'5 gene,1,1,51577179,51577256
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'5 gene,2,1,51598124,51598193
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'5 gene,3,1,51614305,51614419
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'5 gene,4,1,51616874,51617221
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'5 gene,5,1,51651991,51652041
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'5 gene,6,1,51669434,51669512
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'5 gene,7,1,51714003,51714079
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000415031,+,+,'3 gene,2,1,51560882,51560961
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'5 gene,1,1,51577179,51577256
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'5 gene,2,1,51598124,51598193
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'5 gene,3,1,51614305,51614419
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'5 gene,4,1,51616874,51617221
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'5 gene,5,1,51651991,51652041
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'5 gene,6,1,51669434,51669512
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'5 gene,7,1,51714003,51714079
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'3 gene,2,1,51560885,51561023
OSBPL9,EPS15-AS1,ENST00000371714,ENST00000426017,+,+,'3 gene,3,1,51561471,51561629
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000415031,+,+,'5 gene,1,1,51617092,51617221
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000415031,+,+,'5 gene,2,1,51651991,51652041
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000415031,+,+,'5 gene,3,1,51669434,51669814
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000415031,+,+,'5 gene,4,1,51714003,51714079
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000415031,+,+,'3 gene,2,1,51560882,51560961
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000426017,+,+,'5 gene,1,1,51617092,51617221
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000426017,+,+,'5 gene,2,1,51651991,51652041
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000426017,+,+,'5 gene,3,1,51669434,51669814
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000426017,+,+,'5 gene,4,1,51714003,51714079
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000426017,+,+,'3 gene,2,1,51560885,51561023
OSBPL9,EPS15-AS1,ENST00000435274,ENST00000426017,+,+,'3 gene,3,1,51561471,51561629
OSBPL9,EPS15-AS1,ENST00000447887,ENST00000415031,+,+,'5 gene,1,1,51617092,51617221
OSBPL9,EPS15-AS1,ENST00000447887,ENST00000415031,+,+,'5 gene,2,1,51651991,51652041
OSBPL9,EPS15-AS1,ENST00000447887,ENST00000415031,+,+,'5 gene,3,1,51669434,51669512
OSBPL9,EPS15-AS1,ENST00000447887,ENST00000415031,+,+,'5 gene,4,1,51714003,51714079
OSBPL9,EPS15-AS1,ENST00000447887,ENST00000415031,+,+,'3 gene,2,1,51560882,51560961
OSBPL9,EPS15-AS1,ENST00000447887,ENST00000426017,+,+,'5 gene,1,1,51617092,51617221
OSBPL9,EPS15-AS1,ENST00000447887,ENST00000426017,+,+,'5 gene,2,1,51651991,51652041
