5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,exon_gene_source,exon_number,exon_chr,exon_start,exon_end
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'5 gene,1,2,63588609,63589046
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'5 gene,2,2,63594488,63594586
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'5 gene,3,2,63595423,63595519
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'5 gene,4,2,63597399,63597574
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'5 gene,5,2,63599170,63599292
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'3 gene,3,X,63399781,63399903
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'3 gene,4,X,63343206,63343289
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'3 gene,5,X,63239787,63239830
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'3 gene,6,X,63238993,63239059
MDH1,LINC01278,ENST00000544381,ENST00000610088,+,-,'3 gene,7,X,63238478,63238734
MDH1,LINC01278,ENST00000544381,ENST00000610234,+,-,'5 gene,1,2,63588609,63589046
MDH1,LINC01278,ENST00000544381,ENST00000610234,+,-,'5 gene,2,2,63594488,63594586
MDH1,LINC01278,ENST00000544381,ENST00000610234,+,-,'5 gene,3,2,63595423,63595519
MDH1,LINC01278,ENST00000544381,ENST00000610234,+,-,'5 gene,4,2,63597399,63597574
MDH1,LINC01278,ENST00000544381,ENST00000610234,+,-,'5 gene,5,2,63599170,63599292
MDH1,LINC01278,ENST00000544381,ENST00000610234,+,-,'3 gene,3,X,63399781,63399903
MDH1,LINC01278,ENST00000544381,ENST00000610234,+,-,'3 gene,4,X,63345489,63345571
MDH1,LINC01278,ENST00000544381,ENST00000669201,+,-,'5 gene,1,2,63588609,63589046
MDH1,LINC01278,ENST00000544381,ENST00000669201,+,-,'5 gene,2,2,63594488,63594586
MDH1,LINC01278,ENST00000544381,ENST00000669201,+,-,'5 gene,3,2,63595423,63595519
MDH1,LINC01278,ENST00000544381,ENST00000669201,+,-,'5 gene,4,2,63597399,63597574
MDH1,LINC01278,ENST00000544381,ENST00000669201,+,-,'5 gene,5,2,63599170,63599292
MDH1,LINC01278,ENST00000544381,ENST00000669201,+,-,'3 gene,3,X,63397507,63399903
MDH1,LINC01278,ENST00000544381,ENST00000608788,+,-,'5 gene,1,2,63588609,63589046
MDH1,LINC01278,ENST00000544381,ENST00000608788,+,-,'5 gene,2,2,63594488,63594586
MDH1,LINC01278,ENST00000544381,ENST00000608788,+,-,'5 gene,3,2,63595423,63595519
MDH1,LINC01278,ENST00000544381,ENST00000608788,+,-,'5 gene,4,2,63597399,63597574
