5'_gene,3'_gene,5'_transcript,3'_transcript,5'_strand,3'_strand,exon_gene_source,exon_number,exon_chr,exon_start,exon_end
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'5 gene,1,7,2843853,2844308
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,2,7,2958500,2958631
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,3,7,2947575,2947787
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,4,7,2945819,2945956
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,5,7,2944212,2944537
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,6,7,2939749,2939928
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,7,7,2938679,2938831
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,8,7,2937907,2938032
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,9,7,2937037,2937234
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,10,7,2934453,2934629
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,11,7,2932535,2932586
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,12,7,2929992,2930074
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,13,7,2928598,2928698
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,14,7,2926739,2926791
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,15,7,2924233,2924365
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,16,7,2923132,2923333
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,17,7,2922634,2922760
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,18,7,2919372,2919612
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,19,7,2918491,2918587
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,20,7,2917290,2917385
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,21,7,2915237,2915372
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,22,7,2913287,2913466
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,23,7,2912172,2912296
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,24,7,2910050,2910165
GNA12,CARD11,ENST00000275364,ENST00000396946,-,-,'3 gene,25,7,2906142,2906842
GNA12,CARD11,ENST00000275364,ENST00000356408,-,-,'5 gene,1,7,2843853,2844308
GNA12,CARD11,ENST00000275364,ENST00000356408,-,-,'3 gene,3,7,2958500,2958631
GNA12,CARD11,ENST00000275364,ENST00000356408,-,-,'3 gene,4,7,2947576,2947787
